,mncoef,mncoef_bin,fracODC
81,0.20279377746733102,"(0.2, 0.234]",0.7175572519083969
83,0.25505918342295736,"(0.234, 0.269]",0.7198581560283688
84,0.35485750065274446,"(0.338, 0.373]",0.704
96,0.3346702300420907,"(0.303, 0.338]",0.6634615384615384
97,0.38761517364075165,"(0.373, 0.407]",0.6733067729083665
98,0.34944256326314377,"(0.338, 0.373]",0.7153846153846154
99,0.3248471279470889,"(0.303, 0.338]",0.6857142857142857
106,0.3322797005239322,"(0.303, 0.338]",0.6517857142857143
107,0.33984883123872406,"(0.338, 0.373]",0.6696428571428571
108,0.4234885499482911,"(0.407, 0.442]",0.6635514018691588
112,0.3006691024847267,"(0.269, 0.303]",0.5963302752293578
113,0.45290527623897187,"(0.442, 0.476]",0.6516393442622951
114,0.3328652473596944,"(0.303, 0.338]",0.6984126984126984
115,0.28569581885017564,"(0.269, 0.303]",0.7004048582995951
122,0.3375676097213253,"(0.303, 0.338]",0.6103896103896104
123,0.39345486386220396,"(0.373, 0.407]",0.6437768240343348
124,0.33275328796516956,"(0.303, 0.338]",0.6238938053097345
125,0.3578706522258458,"(0.338, 0.373]",0.6497890295358649
129,0.41928489688912407,"(0.407, 0.442]",0.5213675213675214
130,0.38532241545247337,"(0.373, 0.407]",0.626984126984127
131,0.3764999570457316,"(0.373, 0.407]",0.66796875
132,0.3954509832359231,"(0.373, 0.407]",0.663594470046083
140,0.36323997293961036,"(0.338, 0.373]",0.6306306306306306
141,0.33030894900779056,"(0.303, 0.338]",0.6387665198237885
142,0.4075210027696371,"(0.407, 0.442]",0.6026785714285714
143,0.376070059278091,"(0.373, 0.407]",0.6517857142857143
148,0.43988339844809843,"(0.407, 0.442]",0.5114942528735632
149,0.4516256851914054,"(0.442, 0.476]",0.5238095238095238
150,0.4127524864672722,"(0.407, 0.442]",0.6307053941908713
151,0.3995426145833619,"(0.373, 0.407]",0.6694560669456067
159,0.3213264831189891,"(0.303, 0.338]",0.6585365853658537
160,0.3514241764992869,"(0.338, 0.373]",0.6509433962264151
161,0.3775089521462134,"(0.373, 0.407]",0.6124401913875598
162,0.4443805286571555,"(0.442, 0.476]",0.6682242990654206
167,0.4349375966805369,"(0.407, 0.442]",0.46113989637305697
168,0.41832673072281146,"(0.407, 0.442]",0.4935064935064935
169,0.364679627179988,"(0.338, 0.373]",0.6008230452674898
170,0.30489190242101744,"(0.303, 0.338]",0.6367713004484304
175,0.27967822955678057,"(0.269, 0.303]",0.7330508474576272
177,0.09730956468448469,"(0.0962, 0.131]",0.6929824561403509
178,0.2391447802706839,"(0.234, 0.269]",0.6764705882352942
179,0.3313683888057962,"(0.303, 0.338]",0.6567164179104478
180,0.3793255059960164,"(0.373, 0.407]",0.6188118811881188
186,0.3751595491014475,"(0.373, 0.407]",0.6728395061728395
187,0.3788251106878975,"(0.373, 0.407]",0.4387755102040816
188,0.3501906409174053,"(0.338, 0.373]",0.4864864864864865
189,0.4290326516525869,"(0.407, 0.442]",0.5663716814159292
190,0.36111152004845515,"(0.338, 0.373]",0.6395939086294417
195,0.32632377490574666,"(0.303, 0.338]",0.7383966244725738
196,0.27803980508703474,"(0.269, 0.303]",0.73568281938326
198,0.4035570120624998,"(0.373, 0.407]",0.7107843137254902
199,0.28987470135546256,"(0.269, 0.303]",0.6825396825396826
200,0.35695316374760155,"(0.338, 0.373]",0.6519337016574586
201,0.37285214169903835,"(0.373, 0.407]",0.6378378378378379
207,0.35845626264572544,"(0.338, 0.373]",0.5988023952095808
208,0.4503011143113131,"(0.442, 0.476]",0.4540229885057471
209,0.3894385098794317,"(0.373, 0.407]",0.5526315789473685
210,0.28703660711818707,"(0.269, 0.303]",0.5966850828729282
216,0.31081305947681376,"(0.303, 0.338]",0.7257383966244726
218,0.3656356106100839,"(0.338, 0.373]",0.7064676616915423
227,0.45390084653053125,"(0.442, 0.476]",0.35714285714285715
228,0.3784531550603304,"(0.373, 0.407]",0.4457831325301205
229,0.3732356596474544,"(0.373, 0.407]",0.5515151515151515
237,0.36311089746990505,"(0.338, 0.373]",0.6829268292682927
244,0.3682556434873179,"(0.338, 0.373]",0.35555555555555557
245,0.33047538482575,"(0.303, 0.338]",0.42771084337349397
246,0.39200712661062936,"(0.373, 0.407]",0.5128205128205128
248,0.3430379979654918,"(0.338, 0.373]",0.6984126984126984
258,0.4233482107772113,"(0.407, 0.442]",0.3082706766917293
259,0.4193205851143168,"(0.407, 0.442]",0.38513513513513514
261,0.3676772790333924,"(0.338, 0.373]",0.6230366492146597
262,0.41983480702649173,"(0.407, 0.442]",0.6557377049180327
263,0.3521987069790612,"(0.338, 0.373]",0.6684210526315789
265,0.3226758520598479,"(0.303, 0.338]",0.6811594202898551
266,0.36356757308003385,"(0.338, 0.373]",0.6682692307692307
267,0.43157599220232357,"(0.407, 0.442]",0.6305418719211823
268,0.45733392891604063,"(0.442, 0.476]",0.6142131979695431
271,0.4217804050736218,"(0.407, 0.442]",0.29333333333333333
272,0.44602266540641605,"(0.442, 0.476]",0.3624161073825503
274,0.3629965248895335,"(0.338, 0.373]",0.5393939393939394
275,0.4402355570298402,"(0.407, 0.442]",0.5614973262032086
276,0.4285179481764849,"(0.407, 0.442]",0.5722222222222222
277,0.374313983767195,"(0.373, 0.407]",0.5891891891891892
