celltype,p,stat
Astrocyte,0.2783721627837216,-0.22075291125710408
Chandelier,0.5078492150784921,-0.12374883730599137
Endothelial,0.277972202779722,-0.20045751973987375
L2/3 IT,0.42525747425257476,-0.1511876530149236
L4 IT,0.6821317868213179,-0.07850095149057507
L5 ET,0.39946005399460055,0.15553231819145025
L5 IT,0.7787221277872213,-0.05583053460311616
L5/6 NP,0.35876412358764126,-0.16853338836526194
L6 CT,0.9501049895010499,0.012148419945038208
L6 IT,0.6346365363463654,0.09447452122972973
L6 IT Car3,0.16468353164683533,0.25617053217984836
L6b,0.3281671832816718,0.18206181302325908
Lamp5,0.9385061493850615,0.016010578971750396
Lamp5 Lhx6,0.664033596640336,-0.08763999742258308
Microglia-PVM,0.5304469553044695,0.1539390092268721
OPC,0.49925007499250074,0.12900278816142333
Oligodendrocyte,0.6263373662633737,0.09991256544022172
Pax6,0.5745425457454254,0.10797832728904073
Pvalb,0.40875912408759124,-0.1484918905630569
Sncg,0.8265173482651735,0.04178594641406216
Sst,0.21997800219978003,-0.23448770168229296
Sst Chodl,0.7427257274272573,0.05133740188704106
VLMC,0.9229077092290771,0.01922088398075722
Vip,0.37506249375062495,-0.17188222480189588
