perplexity,method
0.20712653,vima
0.16849966,vima
0.22589502,vima
0.12627019,vima
0.16335768,vima
0.18713269,vima
0.20855644,vima
0.12846556,vima
0.18610802,vima
0.24846888,vima
0.25046608,vima
0.12627569,vima
0.13778174,vima
0.17971404,vima
0.22780082,vima
0.19538723,vima
0.31096917,vima
0.09549621,vima
0.18090889,vima
0.34353566,vima
0.37169987,vima
0.25519812,vima
0.18314283,vima
0.14893457,vima
0.083595276,vima
0.11914743,vima
0.17978975,vima
0.14008735,vima
0.27152854,vima
0.21702021,vima
0.11803965,vima
0.09154608,vima
0.18741693,vima
0.24631225,vima
0.22501397,vima
0.1666299,vima
0.20912175,vima
0.24356955,vima
0.21972941,vima
0.6646417,vima
0.54418844,vima
0.20461302,vima
0.17951435,vima
0.27585465,vima
0.291893,vima
0.12693012,vima
0.30213404,vima
0.2949955,vima
0.44910938,vima
0.17007765,vima
0.20621526,vima
0.3198327,vima
0.4018668,vima
0.25292218,vima
0.27308255,vima
0.27706462,vima
0.13181433,vima
0.13272746,vima
0.19261716,vima
0.22199693,vima
0.43380344,vima
0.14500575,vima
0.15587375,vima
0.14036545,vima
0.2753944,vima
0.57281023,vima
0.21514067,vima
0.2590052,vima
0.27405453,vima
0.061745282,vima
0.07221165,vima
0.14267452,vima
0.05211797,vima
0.05211797,vima
0.06795172,vima
0.06361758,vima
0.058009785,vima
0.05930692,vima
0.05211797,vima
0.1902991,vima
0.2705847,vima
0.12871107,vima
0.15015268,vima
0.0658043,vima
0.063040555,vima
0.06325754,vima
0.08125571,vima
0.06776235,vima
0.072588675,vima
0.059393585,vima
0.06953618,vima
0.07141596,vima
0.19556034,vima
0.058062796,vima
0.15287708,vima
0.10759274,vima
0.056212503,vima
0.12744059,vima
0.1827948,vima
0.16752705,vima
0.15543519,vima
0.20729971,vima
0.17965744,vima
0.20081593,vima
0.19900666,vima
0.16024767,vima
0.16369128,vima
0.11663888,vima
0.1419534,vima
0.05211797,vima
0.19553705,vima
0.20117587,vima
0.096680865,vima
0.08513235,vima
0.14452052,vima
0.21635684,vima
0.18565857,vima
0.20369568,vima
0.19229403,vima
0.13739707,vima
0.2150812,vima
0.25417978,vima
0.24115756,vima
0.28550223,vima
0.32130915,vima
0.14347775,vima
0.08960948,vima
0.16391875,vima
0.14226332,vima
0.11330709,vima
0.12115749,vima
0.2245973,vima
0.26304072,vima
0.16636713,vima
0.17670241,vima
0.15094352,vima
0.115410306,vima
0.2623295,vima
0.2896426,vima
0.31320158,vima
0.13320872,vima
0.1598676,vima
0.20021456,vima
0.13812888,vima
0.14616226,vima
0.14324842,vima
0.09236891,vima
0.1130439,vima
0.22598945,vima
0.18251579,vima
0.22874685,vima
0.28039002,vima
0.17807412,vima
0.26220915,vima
0.23475793,vima
0.30750343,vima
0.27804384,vima
0.23938107,vima
0.34210435,vima
0.18959074,vima
0.18565215,vima
0.19242352,vima
0.19176142,vima
0.16749088,vima
0.19377212,vima
0.13027874,vima
0.19667858,vima
0.16078758,vima
0.15027796,vima
0.14301328,vima
0.20749988,vima
0.2564961,vima
0.4441545,vima
0.30894214,vima
0.3211785,vima
0.3625189,vima
0.1937488,vima
0.16215311,vima
0.19665834,vima
0.20317516,vima
0.2072448,vima
0.16689424,vima
0.19470944,vima
0.18618003,vima
0.14254318,vima
0.120177895,vima
0.15550238,vima
0.24297284,vima
0.24631818,vima
0.22911029,vima
0.3727889,vima
0.3719886,vima
0.31819838,vima
0.29762152,vima
0.3201043,vima
0.128414,vima
0.21975732,vima
0.1955254,vima
0.12696476,vima
0.109436385,vima
0.11272193,vima
0.14656125,vima
0.36538136,vima
0.23494862,vima
0.34094357,vima
0.34753183,vima
0.30335656,vima
0.1945514,vima
0.21906227,vima
0.26479548,vima
0.28262144,vima
0.3266791,vima
0.2732513,vima
0.17860013,vima
0.17987764,vima
0.17914914,vima
0.21272442,vima
0.22812942,vima
0.25301448,vima
0.17239675,vima
0.17839769,vima
0.36269784,vima
0.18056418,vima
0.32089677,vima
0.21912491,vima
0.09931204,vima
0.19296582,vima
0.2693184,vima
0.21001112,vima
0.19973117,vima
0.23654626,vima
0.3207597,vima
0.26419476,vima
0.27168658,vima
0.33420637,vima
0.16819456,vima
0.18069974,vima
0.20379159,vima
0.39968646,vima
0.22288832,vima
0.1961589,vima
0.2931954,vima
