cluster,p,stat
0,0.12471087528912471,-0.3923420587775213
1,0.3783386216613783,0.2344085734506168
2,0.149022850977149,0.4188816483597331
3,0.060867939132060865,0.4389912291837784
4,0.9217570782429217,-0.029913308098382923
5,0.10117689882310117,-0.4073686606683102
6,0.5943104056895943,-0.1372581959806823
7,0.1511888488111512,0.3724764435249931
8,0.03315896684103316,0.48175186972678363
9,0.8687801312198687,0.026371437491939598
10,0.16626083373916625,0.28319193332951825
11,0.3190916809083191,0.2948901059943776
12,0.8328471671528328,-0.08660576225684127
13,0.002080997919002081,-0.7598166123738054
14,0.02887097112902887,0.40436922244405205
15,0.674970325029675,-0.1531411740531519
16,0.08157991842008158,-0.4085879891850774
17,0.5512364487635513,0.16570501527644937
18,0.07870792129207871,0.44611923904111767
19,0.001424998575001425,-0.5799492388029845
20,0.8938491061508939,0.1384421045323381
21,0.7128342871657128,0.116560161422162
22,0.8134891865108135,0.06897521539434627
23,0.9369660630339369,0.04526905638612266
24,0.4378085621914378,0.2101632895105101
25,0.042324957675042324,-0.4556432733870876
26,0.8938491061508939,0.13801311186847082
27,0.11317388682611318,-0.34503277967117724
28,0.4736405263594736,0.19120349359633926
29,0.8183741816258183,0.13801311186847076
30,0.5248174751825249,0.1755409261982764
